,body
294478612,$BB $AMZN Something is going on with Blackberry management very quiet 🤫 and I believe it has something to do with Amazon
294477331,$AMZN Good News--&gt; New Home Sales (Jan) 923K vs 856K Expected http://www.streetinsider.com/Economic+Data/New+Home+Sales+%28Jan%29+923K+vs+856K+Expected/18024655.html via @Street_Insider
294476703,$SNDL $AMZN $AMC $GME $SXTC
294475404,$AMZN no volume! Seems like cathie gave woods to Tsla holders!
294474686,$AMZN analyst are just of big of crooks as the MM’s. This stock is a clear example .
294473945,$AMZN short term option gambler 👇
294473256,$AMZN such a short term view. 👇
294473086,"$AMZN When this stock decide to be annoying, it&#39;ll totally fvck your brain. Fvcking losing stock to trade"
294472872,"🚨 $AI 120 support, long over short under alerted by @UtTraderrr 🚨

$SNOW $PLTR $CRM $AMZN

Careful with the market!

✔Follow and turn on notifications for more amazing trade ideas!

#unitedtraders #daytrade #teamwork #wsb #stocks"
294472277,$AMZN How was this ever $3550? Nothing can move it up now.
294472032,$AMZN so manipulated
294471968,"$SPY Algos have to test the Bulls after yesterday, they&#39;re bullying the Market a bit here &amp; it feels a bit forced so we should see a move higher

$AAPL $BABA $AMZN $HD"
294471958,"$AMZN god this pathetic pos is lower than it was now than in July, and yet again management does nothing but sell shares, pos stock"
294471082,$AMZN I don’t get this company
294470668,$AMZN hoping it&#39;s a bear trap 🥺
294470228,So $BA can have engines falling apart mid flight and the stock goes up every day meanwhile $AMZN has the biggest quarter ever and goes down every day?! Riiiiight 😡🖕🤬
294469771,$BB $AMZN I become a bull when I see the trend change!
294465710,"@Sarge_slaughter I thought the same about $AMZN $TSLA $NFLX and plenty more.  Except those it was more split them 7 ways and more.  Since then those stocks have increased many more times those prices, although their multiples have contracted considerably as their profits grew."
294465084,$AMZN If  $3150 holds today the reversal is official.
294462709,"$TSLA $AMZN $NIO $PLUG It&#39;s going to take a long time to recover, 6+ months."
294460935,Okay fam $FCEL $WKHS $AMZN if you guys like pennies UVSE is a cheap millionaire play. A couple years from now we will all be rich just give her a peak
294460466,$AMZN have to say this shit stock is pretty consistent in something!
294459845,$AMZN Needs to hold support $3150. Must hold. The only chance of a reversal.
294459406,$AMZN when is Jerome P stepping?
294459262,$AMZN all you had to do was split. Fuck you
294458768,$AMZN hate this stock
294458461,$AMZN possible bear trap
294458057,$AMZN down hit on NASDAQ...
294457785,$AMZN just another Amazon day. Lol
294457351,"$SPY MOO Orders to the Sell side, have to flush the weak before a move higher

$AAPL $BABA $HD $AMZN"
294456247,"$AMZN Fuck bonds. Who the hell thinks,  should I get in a growth stock or some fixed rate bond?  Annoying."
294455831,"$AMZN ⚡️🔝⚡️🔝⚡️🔝⚡️🔝⚡️
US 🇺🇸 Going GREEN HYDROGEN ⚡️AMAZON &amp; PLUG POWER ⚡️

https://www.krem.com/amp/article/news/local/new-permit-links-amazon-to-spokane-valley-project-fireball/293-6cc41ff4-a204-4b39-96ce-53d913948866"
294455374,"$AMZN LOL, this turd is falling again..."
294454086,$AMZN man has this become one of those where 5000 ppl with $500 buying calls can arrest the stock.
294454036,$AMZN $AAPL idiots are selling these and buy overvalued Tesla lol what a joke
294451796,"$AMZN Big Trade - 3,300 shares at $3165.00 totaling $10,444,500"
294451684,$AMZN how many more red days are we gona see
294451082,"$AMZN Huge Trade - 35,523 shares at $3166.75 totaling $112,492,460"
294450932,$QCOM $AAPL $AMZN  another bloodbath coming  TNX at 52 week high
294448620,$AMZN Global Commercial Drone Market Expected to Exceed $8.5 Billion By 2027 https://www.otcdynamics.com/amzn-global-commercial-drone-market-expected-to-exceed-8-5-billion-by-2027
294447995,$AMZN Red Premarket Green Close?
294447767,$AMZN I see a 3135 bottom
294447691,$AMZN Simulated 3210 dollar weekly CALLS for today on StockOrbit at https://apps.apple.com/us/app/stockorbit/id1541560646
294445990,$AMZN NEW ARTICLE : Global Commercial Drone Market Expected to Exceed $8.5 Billion By 2027 https://www.stck.pro/news/AMZN/11220806
294445244,"$AMZN sub 3100 ppl eill get zerged today, they jumped in yday on dip, w8 for stop losses to accelerate collapse today🖕🖕🖕🖕 rigged POS"
