,body,sentiment
294479865,$AMZN die you pig POS.,Bearish
294479807,$AMZN Every day this thing bleeds I&#39;m honestly over it!,Bearish
294475724,$AMZN 3120 please so I can use the restroom.,Bearish
294469834,$AMZN it will go 100$ down may be 200$ too,Bearish
294463932,$AMZN 3120 is my first leg of profit taking.,Bearish
294463340,$AMZN Worst technology company I’ve ever been employed by...,Bearish
294463020,$AMZN not going down fast enough.  Should have opened below 3100.,Bearish
294461743,$AMZN this is a pos,Bearish
294461386,$TSLA $AMZN $QQQ somethin&#39;s fucky,Bearish
294461073,$AMZN $TSLA 🧸,Bearish
294460146,"$AMZN https://www.businesswire.com/news/home/20210224005596/en/Amazon-Donates-15-Million-to-Code.org-to-Create-New-Equity-Minded-Advanced-Placement-Computer-Science-Curriculum-to-Help-High-School-Students-in-Underserved-Communities-Excel-in-Tech

This is why Amazon hires majority of employees who are fresh out of high school. They know the average high school educated person is uneducated toward labor laws. Bezos has a computer science degree but lacks people management. Amazon needs to invest money into robotics but as several current employees know their current technology has glitches.",Bearish
294458438,"$FB $AMZN $AAPL  
 
https://www.tradingview.com/chart/FB/DgLXpr26-FAANGT-necessary-correction-of-valuations/",Bearish
294454456,$AMZN Evidence obtained..Amazon HR has illegally accessed and changed employees time cards. Labor laws in violation. Management sux and chaos everywhere.,Bearish
294450351,$AMZN markets continues to be weak. You can thank uncle Joe for this mess. Him and all these BS stimulus and 1.9T infrastructure talks. It’s causing rising inflation. Vote his ass out. !,Bearish
294447343,"$AMZN i’m selling everything on the next pop, if there is one. Fuck this market. 🤣🤣🤣",Bearish
294444629,$AMZN Is the market crashing now? Fuck,Bearish
294439702,$AMZN down over 2% from PM high? wow. lol wtf.,Bearish
294438286,$AMZN Yeah bull trap yesterday  these people are smart,Bearish
294437806,"$AAPL 
Big crash coming spread the word $AMZN $SPY $QQQ $DJIA market off its skis 🎿 
Apple going to crash to 80 bucks bringing down the market with its obesity... 33 PE stock is not worth it folks ... throw this trash out 🗑🗑🗑💩💩💩",Bearish
294435963,"$AMZN Astonishing that people think this is going to change. We have record miles long lines of people for food. 100’s of 1000’s are at risk of being evicted as they’ve not paid their mortgage or rent or months. Some for years. Disposable income is evaporating rapidly.

Markets are forward looking and this market is screaming at you.",Bearish
294435249,$AMZN what’s the bottom here?,Bearish
294433322,$AMZN Tsla still green Shop too them options they aint paying shit thanks God i sold no more holding im traumatized just scalping,Bearish
294431031,$AMZN Twilight zone loop mode,Bearish
294429262,$AMZN All FAANG red or just this piece of crap?,Bearish
298675317,$ZOOM this will break $300 soon,Bearish
285101848,"$ZOOM 

You gave the WRONG Zoom! 

Zoom is ZM

Zom is the one that took off doing vaccines (Actually not) 

Zoom, i don’t know what they do!",Bearish
275819527,"$ZOOM I did not actually short this zoom, but this zoom $ZM sorry for the confusion.",Bearish
275215207,$ZOOM thinking about shorting.,Bearish
300345966,"$AAL stimmy coming,  airlines  bout go up or",Bearish
300246883,$AAL short the entire market,Bearish
300244432,"$RKT $PLTR $AAL 

I bought everyday... see ya at the end of the road.",Bearish
300235995,$AAL trash ass stock,Bearish
300199464,$AAL destroy hedge funds,Bearish
300199383,$AAL got in !! Bullish,Bearish
300199307,$AAL have you seen bearish trend. Follow it !,Bearish
299939273,$AAL Fuel and Labor are the bulk of AAL costs Labor has been nearly free with government stimulus and gas was nearly free under Trump Now the last of stimulus is approaching and Joe is pushing fuel to the moon Gonna be tough to make $$,Bearish
299915758,"$AAL this is probably going to $17 , $18 then 🚀",Bearish
299866823,$AAL 5$ bankrupt company....,Bearish
299818552,$AAL MAYDAY! MAYDAY! WE ARE CRASHING DOWN TO $15 FROM A MONTH AGO..,Bearish
299810622,$AAL ALL PASSENGERS.  FASTEN YOUR SEAT BELTS.  WE ARE CRASHING DOWN TO $15 FROM A MONTH AGO.,Bearish
299800764,$AAL MAYDAY! MAYDAY! WE ARE CRASHING DOWN TO $15 FROM A MONTH AGO.,Bearish
299782158,"$AAL sold at 22... 21,20,19,18,17...",Bearish
299778705,$AAL This stock is crashing just like American Airlines airplanes... down to $15 from a month ago.,Bearish
299773600,$AAL Someone call Sullenberger because this stock is heading for the Hudson River.  This is crashing down to $15 from a month ago.,Bearish
299771277,$AAL ,Bearish
299767466,$AAL MAYDAY MAYDAY! PASSENGERS PLEASE PROCEED TO TAKE A PARACHUTE AND EXIT THROUGH THE NEAREST DOOR.,Bearish
299761942,"$AAL sorry diamond hands, I sold and taking the last parachute.",Bearish
299755762,$AAL remind me to never fly American Airlines after this crash down to $15 from a month ago.,Bearish
299755124,$AAL fasten your seatbelts.  we are going down.,Bearish
299744154,$AAL this deserves to be at 10$ at max with so much debt.,Bearish
299743281,"$AAL oh god, they are deploying the air masks.  is this a sign ?",Bearish
299738958,"$AAL ladies and gents, fasten your seatbelts.   We are heading for the Hudson River.",Bearish
303446859,$AMZN been holding for 6 years and I’m thinking of selling to buy value....I don’t see this doing much over the next few years,Bearish
